Nome_Senador,Partido,Fala
O SR. PRESIDENTE,Rodrigo Pacheco. Bloco Parlamentar PSD/Republicanos/PSD - MG. Fala da Presidência.,"Sob a proteção de Deus, iniciamos os nossos trabalhos. Há número regimental. Declaro aberta a 1ª Reunião Preparatória da 1ª Sessão Legislativa Ordinária da 57ª Legislatura. Peço aos Srs. Senadores e às Sras. Senadoras que ocupem seus lugares. A presente reunião preparatória destina-se à posse dos Senadores e das Senadoras eleitos em 2 de outubro de 2022. Foram encaminhados à Mesa Diretora os diplomas conferidos pela Justiça Eleitoral e os demais documentos exigidos por lei, que serão publicados no Diário Oficial. Convido todos para, em posição de respeito, acompanharmos a execução do Hino Nacional brasileiro."
O SR. PRESIDENTE,Rodrigo Pacheco. Bloco Parlamentar PSD/Republicanos/PSD - MG,"Peço aos Srs. Senadores e às Sras. Senadoras que ocupem seus lugares. Registramos e agradecemos a presença das autoridades do Poder Legislativo, Executivo, Judiciário, dos níveis federal, estadual e municipal, bem como dos membros do corpo diplomático, dos cônjuges, familiares e convidados das Senadoras e Senadores eleitos. Registro com muita alegria a presença do Presidente do Conselho Federal da Ordem dos Advogados do Brasil, José Alberto Simonetti. Srs. Senadores e Sras. Senadoras, peço que ocupem seus lugares. Passa-se à posse dos eleitos. De acordo com o disposto no §3º do art. 4º do Regimento Interno, tenho a honra de convidar o Sr. Otto Alencar, representante do Estado da Bahia, para comparecer à Mesa a fim de, em nome de todas as Senadoras e todos os Senadores, prestar o compromisso regimental. Solicito aos presentes que se coloquem em posição de respeito para o compromisso dos empossandos."
O SR. OTTO ALENCAR,Bloco Parlamentar PSD/Republicanos/PSD - BA,"Prometo guardar a Constituição Federal e as leis do país, desempenhar fiel e lealmente o mandato de Senador que o povo me conferiu e sustentar a união, a integridade e a independência do Brasil."
O SR. PRESIDENTE,Rodrigo Pacheco. Bloco Parlamentar PSD/Republicanos/PSD - MG,"Agradeço ao nobre Senador Otto Alencar e cumprimento V. Exa. Passa-se agora à chamada, pela ordem de criação das unidades federativas, dos demais Senadores e Senadoras empossandos, que, ao serem chamados, dirão: ""Assim o prometo"". Convido o Senador Rogério Carvalho, 3º Secretário da Mesa Diretora do Senado Federal, para proceder à chamada."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Rio de Janeiro, Senador Romário."
O SR. ROMÁRIO,Bloco Parlamentar Vanguarda/PL - RJ,"Em nome da vida, da dignidade e da saúde do povo do meu Estado do Rio de Janeiro e do meu Brasil, eu prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado do Maranhão, o Senador Flávio Dino."
O SR. FLÁVIO DINO,Bloco Parlamentar da Resistência Democrática/PSB - MA,"Agradecendo a Deus e ao povo do Maranhão, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Pará, Estado do Pará, o Senador Beto Faro."
O SR. BETO FARO,Bloco Parlamentar da Resistência Democrática/PT - PA,Assim eu prometo.
